Questions,Criticality,Domain
"Has a comprehensive data mapping specification been prepared that documents all source SAP fields and their corresponding target Oracle fields, including transformation rules and data type definitions?",High,Data Mapping
"Are data validation rules and acceptance criteria clearly defined for each data object, including quantitative thresholds for record count reconciliation, financial balance matching, and data quality scoring?",High,Validation & Controls
"Is there a documented rollback plan that has been tested through mock conversion exercises, including defined trigger conditions, decision authority, estimated execution time, and post-rollback root cause analysis procedures?",High,Risk Management
"Does the conversion governance structure include clearly defined roles, responsibilities, and sign-off authorities for all stakeholders, including the client business owners, the systems integrator, and independent auditors?",High,Governance
"Have all data extraction activities been logged with sufficient metadata — including extraction timestamps, record counts, checksums, and named owner accountability — to support a complete audit trail?",High,Audit Trail
"Is there a formal error handling and escalation framework that classifies conversion errors by severity, defines resolution timeframes, assigns ownership, and tracks resolution status in a centralized system?",High,Error Management
"Have the financial data objects — specifically the General Ledger Chart of Accounts restructuring, Accounts Receivable open balances, and Accounts Payable open balances — received documented CFO-level review and approval prior to go-live authorization?",High,Financial Controls
"Does the strategy address data conversion risks with documented mitigations, including source data quality risks, financial misstatement risks, and cutover window overrun risks, with named risk owners assigned?",Medium,Risk Management
"Is the loading sequence of data objects formally documented and enforced to maintain referential integrity, ensuring parent entities are fully loaded and reconciled before dependent child objects are processed?",Medium,Data Integrity
"Has a Data Conversion Acceptance Certificate or equivalent formal sign-off mechanism been defined, specifying the required signatories, acceptance conditions, and authorization process for production go-live?",High,Governance
